epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,109.873,0.52568,1.43065,0.00512,0.82489,0.9405,0.96544,0.89006,0.44743,1.1252,0.00609,0.00080853,0.00080853,0.00080853
57,111.196,0.50131,1.61024,0.00602,0.82489,0.9405,0.96544,0.89006,0.44743,1.1252,0.00609,0.000803031,0.000803031,0.000803031
58,112.602,0.52859,1.48681,0.00577,0.92676,0.88708,0.97597,0.91063,0.4095,1.09063,0.00541,0.000797531,0.000797531,0.000797531
59,113.96,0.47793,1.44443,0.0054,0.91265,0.90907,0.97778,0.91451,0.42409,1.06394,0.00562,0.000792032,0.000792032,0.000792032
60,115.361,0.45411,1.47525,0.00552,0.9397,0.92385,0.98057,0.90779,0.43878,1.03521,0.00577,0.000786532,0.000786532,0.000786532
61,116.667,0.49647,1.51833,0.00577,0.9397,0.92385,0.98057,0.90779,0.43878,1.03521,0.00577,0.000781033,0.000781033,0.000781033
62,118.004,0.45524,1.49048,0.00507,0.94002,0.92483,0.98279,0.9151,0.38959,1.00541,0.00512,0.000775534,0.000775534,0.000775534
63,119.379,0.44198,1.4655,0.00496,0.95227,0.91433,0.98066,0.91603,0.37034,0.97486,0.00488,0.000770034,0.000770034,0.000770034
64,120.752,0.5419,1.43027,0.00647,0.95375,0.92484,0.98178,0.9229,0.38309,0.95082,0.00522,0.000764535,0.000764535,0.000764535
65,122.128,0.50184,1.31131,0.00541,0.95375,0.92484,0.98178,0.9229,0.38309,0.95082,0.00522,0.000759035,0.000759035,0.000759035
66,123.54,0.42594,1.36048,0.00469,0.94595,0.86547,0.97356,0.91164,0.41286,0.91595,0.00561,0.000753536,0.000753536,0.000753536
67,124.902,0.45576,1.5527,0.00571,0.85394,0.98007,0.96828,0.90633,0.40041,0.87244,0.00532,0.000748036,0.000748036,0.000748036
68,126.262,0.50087,1.26919,0.00549,0.84898,0.94577,0.96809,0.90639,0.38865,0.86135,0.00512,0.000742537,0.000742537,0.000742537
69,127.7,0.47853,1.22055,0.00535,0.84898,0.94577,0.96809,0.90639,0.38865,0.86135,0.00512,0.000737037,0.000737037,0.000737037
70,129.1,0.51897,1.27958,0.00545,0.87385,0.92009,0.96507,0.90005,0.40363,0.84051,0.00517,0.000731538,0.000731538,0.000731538
71,130.711,0.4656,1.24908,0.00524,0.87253,0.91228,0.96507,0.90671,0.37507,0.80635,0.00488,0.000726038,0.000726038,0.000726038
72,132.12,0.47183,1.51638,0.00561,0.86959,0.92087,0.96256,0.91128,0.35155,0.79338,0.0047,0.000720539,0.000720539,0.000720539
73,133.526,0.48184,1.23181,0.00495,0.86959,0.92087,0.96256,0.91128,0.35155,0.79338,0.0047,0.00071504,0.00071504,0.00071504
74,135.006,0.448,1.24593,0.00481,0.89641,0.92908,0.96625,0.89843,0.39578,0.78876,0.00528,0.00070954,0.00070954,0.00070954
75,136.502,0.48204,1.29185,0.00594,0.91891,0.95306,0.96761,0.90187,0.37912,0.7651,0.005,0.000704041,0.000704041,0.000704041
76,137.862,0.46456,1.25642,0.00522,0.88273,0.95081,0.9656,0.90628,0.38622,0.72678,0.00505,0.000698541,0.000698541,0.000698541
77,139.296,0.48715,1.29156,0.00594,0.88273,0.95081,0.9656,0.90628,0.38622,0.72678,0.00505,0.000693042,0.000693042,0.000693042
78,140.83,0.44669,1.23642,0.00502,0.87376,0.95509,0.96659,0.91253,0.36053,0.72757,0.00475,0.000687542,0.000687542,0.000687542
79,142.335,0.48827,1.22516,0.00536,0.86483,0.96706,0.96854,0.91559,0.34572,0.68788,0.00448,0.000682043,0.000682043,0.000682043
80,143.896,0.46469,1.17842,0.00479,0.8925,0.93216,0.96712,0.90994,0.34901,0.65607,0.00459,0.000676543,0.000676543,0.000676543
81,145.364,0.44164,1.11861,0.00489,0.8925,0.93216,0.96712,0.90994,0.34901,0.65607,0.00459,0.000671044,0.000671044,0.000671044
82,146.883,0.4667,1.18665,0.00507,0.92821,0.91404,0.96859,0.91477,0.36476,0.61356,0.00485,0.000665545,0.000665545,0.000665545
83,148.298,0.43812,1.29575,0.00518,0.9242,0.91179,0.96877,0.9174,0.33932,0.59684,0.00449,0.000660045,0.000660045,0.000660045
84,149.832,0.43773,1.26687,0.00515,0.91569,0.92885,0.96712,0.92072,0.35131,0.58647,0.00472,0.000654546,0.000654546,0.000654546
85,151.22,0.41769,1.13575,0.00465,0.91569,0.92885,0.96712,0.92072,0.35131,0.58647,0.00472,0.000649046,0.000649046,0.000649046
86,152.689,0.47028,1.18544,0.00546,0.90741,0.93828,0.96862,0.91678,0.35013,0.57183,0.00471,0.000643547,0.000643547,0.000643547
87,154.118,0.45197,1.14964,0.00502,0.89905,0.93662,0.96862,0.90166,0.4003,0.56347,0.00529,0.000638047,0.000638047,0.000638047
88,155.599,0.51197,1.17777,0.00527,0.90558,0.91911,0.97855,0.92076,0.37748,0.53758,0.00486,0.000632548,0.000632548,0.000632548
89,156.957,0.46822,1.06631,0.00503,0.90558,0.91911,0.97855,0.92076,0.37748,0.53758,0.00486,0.000627048,0.000627048,0.000627048
90,158.428,0.44987,1.15586,0.00533,0.86384,0.97576,0.97957,0.91654,0.38792,0.53343,0.00518,0.000621549,0.000621549,0.000621549
91,159.814,0.46056,1.08767,0.00522,0.91253,0.93645,0.9831,0.92068,0.38557,0.53114,0.00523,0.000616049,0.000616049,0.000616049
92,161.358,0.4079,1.11691,0.00486,0.88846,0.95507,0.9831,0.92979,0.37089,0.51797,0.00487,0.00061055,0.00061055,0.00061055
93,162.738,0.42994,1.19677,0.00532,0.88846,0.95507,0.9831,0.92979,0.37089,0.51797,0.00487,0.000605051,0.000605051,0.000605051
94,164.164,0.45214,1.04305,0.00505,0.90984,0.93232,0.98124,0.92749,0.36204,0.49069,0.00476,0.000599551,0.000599551,0.000599551
95,165.626,0.44099,1.13237,0.00528,0.88848,0.98568,0.98616,0.92705,0.35274,0.46524,0.00471,0.000594052,0.000594052,0.000594052
96,167.162,0.41747,1.04866,0.0041,0.89324,0.97287,0.98616,0.92599,0.38058,0.44911,0.00511,0.000588552,0.000588552,0.000588552
97,168.484,0.46878,1.19498,0.00548,0.89324,0.97287,0.98616,0.92599,0.38058,0.44911,0.00511,0.000583053,0.000583053,0.000583053
98,169.978,0.4149,1.09036,0.00441,0.97574,0.87675,0.97869,0.91044,0.40048,0.44857,0.00536,0.000577553,0.000577553,0.000577553
99,171.501,0.43135,1.06412,0.00491,0.96529,0.906,0.98199,0.9119,0.42342,0.44196,0.00565,0.000572054,0.000572054,0.000572054
100,172.952,0.45207,1.10695,0.00525,0.95087,0.93231,0.97988,0.91942,0.37621,0.41965,0.00495,0.000566554,0.000566554,0.000566554
101,174.312,0.4571,1.08707,0.005,0.95087,0.93231,0.97988,0.91942,0.37621,0.41965,0.00495,0.000561055,0.000561055,0.000561055
102,175.731,0.43901,1.17497,0.00505,0.95596,0.91912,0.98051,0.93344,0.33974,0.39092,0.00437,0.000555556,0.000555556,0.000555556
103,177.203,0.44328,1.14827,0.00513,0.95954,0.92055,0.98124,0.94029,0.35403,0.38694,0.0047,0.000550056,0.000550056,0.000550056
104,178.61,0.39668,0.98342,0.00459,0.96201,0.93337,0.98265,0.93187,0.35063,0.38869,0.00468,0.000544557,0.000544557,0.000544557
105,179.976,0.40312,0.94106,0.00428,0.96201,0.93337,0.98265,0.93187,0.35063,0.38869,0.00468,0.000539057,0.000539057,0.000539057
106,181.487,0.42963,0.97381,0.00497,0.96686,0.94037,0.98278,0.92162,0.38829,0.39079,0.00506,0.000533558,0.000533558,0.000533558
107,182.925,0.44257,1.03127,0.00504,0.95525,0.95932,0.98428,0.92854,0.36718,0.38703,0.0047,0.000528058,0.000528058,0.000528058
108,184.377,0.43981,1.03308,0.00522,0.95953,0.96606,0.98428,0.94057,0.33199,0.38433,0.00432,0.000522559,0.000522559,0.000522559
109,185.774,0.43036,0.96807,0.00499,0.95953,0.96606,0.98428,0.94057,0.33199,0.38433,0.00432,0.000517059,0.000517059,0.000517059
110,187.267,0.40122,0.91362,0.00425,0.95237,0.96548,0.98428,0.94159,0.33697,0.38088,0.00435,0.00051156,0.00051156,0.00051156
